Customer ID,Order Date,Order Time,Order Serving Time,Waiting Time,Item Name,Order Value (CAD$),Payment Method
987678,11/8/2023,12:09:44,12:16:00,6.16,Dark Coffee,3.33,Credit Card
24876583,11/8/2023,12:42:47,12:47:51,5.4,Cappuccino,4.5,Cash
309568932,11/8/2023,12:44:48,12:51:26,5.98,Dark Coffee,3.33,Debit Card
7992342,11/8/2023,12:44:51,12:52:15,7.24,Latte,4.25,Cash
65727532,11/8/2023,13:46:48,13:54:15,6.87,Mocha,4.75,Cash
92877349,11/8/2023,13:50:35,13:54:37,4.02,Dark Coffee,3.33,Cash
5273728872,11/8/2023,13:52:28,13:59:03,5.95,Americano,3,Debit Card
882637273,11/8/2023,13:54:07,13:59:32,4.85,Latte,4.25,Credit Card
527367827,11/8/2023,13:54:31,13:58:40,4.9,Cappuccino,4.5,Credit Card
,,,,,,,
98747263,11/8/2023,12:57:06,13:02:47,5.41,Dark Coffee,3.33,Debit Card
52783727,11/8/2023,12:58:46,13:04:00,5.14,Espresso,2.75,Credit Card
682738289,11/8/2023,13:00:02,13:06:47,6.45,Americano,3,Cash
527632782,11/8/2023,13:00:05,13:06:21,5.76,Latte,4.25,Cash
652783728,11/8/2023,13:00:28,13:05:40,5.12,Mocha,4.75,Credit Card
62837283,11/8/2023,13:03:44,13:09:28,5.44,Espresso,2.75,Credit Card
82736273,11/8/2023,13:04:11,13:09:44,5.33,Dark Coffee,3.33,Credit Card
673283723,11/8/2023,13:04:29,13:11:18,6.49,Cappuccino,4.5,Debit Card
82736782,11/8/2023,13:04:30,13:09:49,4.79,Cappuccino,4.5,Cash
,,,,,,,
78235167,11/8/2023,12:04:48,12:10:19,5.31,Latte,4.25,Credit Card
33499524,11/8/2023,12:04:55,12:09:10,4.15,Latte,4.25,Debit Card
93889414,11/8/2023,12:05:18,12:08:03,2.45,Dark Coffee,3.33,Cash
49350535,11/8/2023,12:07:32,12:13:37,5.65,Dark Coffee,3.33,Credit Card
46377094,11/8/2023,12:09:41,12:16:07,5.86,Latte,4.25,Cash
92074118,11/8/2023,12:11:04,12:15:30,4.26,Mocha,4.75,Cash
